# id	left	top	right	bottom	texture_id
[SPRITES]
200000	3	80	130	143	40
200001	60	29	122	76	40

#small tree
210000	55	7	70	22	40


63000	443	171	458	186	30
64000	460	171	475	186	30
65000	477	171	492	186	30

#CLOUD BACKGROUND
66001	715	1	730	16	30
66002	732	1	747	16	30
66003	749	1	764	16	30
66004	715	18	730	33	30
66005	732	18	747	33	30
66006	749	18	764	33	30

#WOOD
67000	1004	18	1019	33	30

#CLOUD collision
68000	698	1	713	16	30

#BackGround Black
69000	2480	0	2815	207	50
69001	0	441	63	500	50

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
